År,Pris,Mil,Note
2014,115000,5500,
2014,98900,9500,
2014,93000,7000,
2014,99999,7000,
2014,99000,8000,
2014,104000,10000,
2014,79900,13000,
2014,98900,10000,
2014,99999,8500,
2014,99000,10000,
2014,117000,8000,
2014,119800,5000,
2014,99900,8000,
2014,105000,11000,
2014,92800,11000,
2014,99900,7500,
2014,109900,4500,
2014,114900,4500,
2014,104500,10000,
2014,99900,11000,
2015,154900,4000,
2015,124900,7500,
2015,109500,5500,
2015,89900,14000,
2015,109900,7500,
2015,119500,6500,
2015,128900,8000,
2015,89500,10000,
2015,144900,3000,
2015,129900,4000,
2015,129000,5500,
2015,119900,7000,
2015,139900,5500,
2015,119900,10000,
2015,114900,8500,
2015,117900,7500,
2015,129900,8000,
2015,137900,3000,
2015,144000,4500,
2015,99000,11500,
2015,109700,6000,
2015,114900,4500,
2015,96500,10000,
2015,128900,7000,
2015,105000,9000,
2015,106900,9500,
2015,114900,6000,
2015,99900,7500,
2015,124900,8000,
2015,99900,12000,
2015,107900,10000,
2015,112500,10500,
